29-01-2026 14:47:25 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): raw.githubusercontent.com:443
29-01-2026 16:17:23 | INFO | __main__ | Step 39, Loss: 9.0430
29-01-2026 16:19:09 | INFO | __main__ | Step 40, Loss: 8.9598
29-01-2026 16:20:53 | INFO | __main__ | Step 41, Loss: 8.8888
29-01-2026 16:22:32 | INFO | __main__ | Step 42, Loss: 8.7921
29-01-2026 16:24:13 | INFO | __main__ | Step 43, Loss: 8.7277
29-01-2026 16:25:52 | INFO | __main__ | Step 44, Loss: 8.6194
29-01-2026 16:27:33 | INFO | __main__ | Step 45, Loss: 8.5551
29-01-2026 16:29:19 | INFO | __main__ | Step 46, Loss: 8.4550
29-01-2026 16:31:03 | INFO | __main__ | Step 47, Loss: 8.3669
29-01-2026 16:32:46 | INFO | __main__ | Step 48, Loss: 8.2791
29-01-2026 16:34:30 | INFO | __main__ | Step 49, Loss: 8.1819
29-01-2026 16:36:13 | INFO | __main__ | Step 50, Loss: 8.1039
29-01-2026 16:37:58 | INFO | __main__ | Step 51, Loss: 7.9950
29-01-2026 16:39:42 | INFO | __main__ | Step 52, Loss: 7.9323
29-01-2026 16:41:23 | INFO | __main__ | Step 53, Loss: 7.8170
29-01-2026 16:43:05 | INFO | __main__ | Step 54, Loss: 7.7583
29-01-2026 16:44:47 | INFO | __main__ | Step 55, Loss: 7.6700
29-01-2026 16:46:31 | INFO | __main__ | Step 56, Loss: 7.5866
29-01-2026 16:48:18 | INFO | __main__ | Step 57, Loss: 7.5329
29-01-2026 16:50:01 | INFO | __main__ | Step 58, Loss: 7.4502
29-01-2026 16:51:44 | INFO | __main__ | Step 59, Loss: 7.4212
29-01-2026 16:53:26 | INFO | __main__ | Step 60, Loss: 7.3315
29-01-2026 16:55:07 | INFO | __main__ | Step 61, Loss: 7.3250
29-01-2026 16:56:48 | INFO | __main__ | Step 62, Loss: 7.2528
29-01-2026 16:58:30 | INFO | __main__ | Step 63, Loss: 7.2205
29-01-2026 17:00:11 | INFO | __main__ | Step 64, Loss: 7.1816
29-01-2026 17:01:53 | INFO | __main__ | Step 65, Loss: 7.1289
29-01-2026 17:03:35 | INFO | __main__ | Step 66, Loss: 7.1054
29-01-2026 17:05:17 | INFO | __main__ | Step 67, Loss: 7.0389
29-01-2026 17:07:00 | INFO | __main__ | Step 68, Loss: 7.0351
29-01-2026 17:08:42 | INFO | __main__ | Step 69, Loss: 6.9549
29-01-2026 17:10:25 | INFO | __main__ | Step 70, Loss: 6.9565
29-01-2026 17:12:09 | INFO | __main__ | Step 71, Loss: 6.9047
29-01-2026 17:13:51 | INFO | __main__ | Step 72, Loss: 6.8644
29-01-2026 17:15:32 | INFO | __main__ | Step 73, Loss: 6.8441
29-01-2026 17:17:14 | INFO | __main__ | Step 74, Loss: 6.7971
29-01-2026 17:18:57 | INFO | __main__ | Step 75, Loss: 6.7861
29-01-2026 17:20:39 | INFO | __main__ | Step 76, Loss: 6.7303
29-01-2026 17:22:20 | INFO | __main__ | Step 77, Loss: 6.7375
29-01-2026 17:24:02 | INFO | __main__ | Step 78, Loss: 6.6824
29-01-2026 17:25:43 | INFO | __main__ | Step 79, Loss: 6.6770
29-01-2026 17:27:24 | INFO | __main__ | Step 80, Loss: 6.6521
29-01-2026 17:29:06 | INFO | __main__ | Step 81, Loss: 6.6224
29-01-2026 17:30:48 | INFO | __main__ | Step 82, Loss: 6.6169
29-01-2026 17:32:31 | INFO | __main__ | Step 83, Loss: 6.5802
29-01-2026 17:34:13 | INFO | __main__ | Step 84, Loss: 6.5853
29-01-2026 17:35:56 | INFO | __main__ | Step 85, Loss: 6.5436
29-01-2026 17:37:38 | INFO | __main__ | Step 86, Loss: 6.5595
29-01-2026 17:39:22 | INFO | __main__ | Step 87, Loss: 6.5313
29-01-2026 17:41:04 | INFO | __main__ | Step 88, Loss: 6.5167
29-01-2026 17:42:50 | INFO | __main__ | Step 89, Loss: 6.5073
29-01-2026 17:44:33 | INFO | __main__ | Step 90, Loss: 6.4926
29-01-2026 17:46:19 | INFO | __main__ | Step 91, Loss: 6.4879
29-01-2026 17:48:10 | INFO | __main__ | Step 92, Loss: 6.4661
29-01-2026 17:49:51 | INFO | __main__ | Step 93, Loss: 6.4805
29-01-2026 17:51:34 | INFO | __main__ | Step 94, Loss: 6.4439
29-01-2026 17:53:34 | INFO | __main__ | Step 95, Loss: 6.4619
29-01-2026 17:55:20 | INFO | __main__ | Step 96, Loss: 6.4454
29-01-2026 17:57:01 | INFO | __main__ | Step 97, Loss: 6.4307
29-01-2026 17:59:08 | INFO | __main__ | Step 98, Loss: 6.4380
29-01-2026 18:00:57 | INFO | __main__ | Step 99, Loss: 6.4178
29-01-2026 18:02:47 | INFO | __main__ | Step 100, Loss: 6.4287
29-01-2026 18:04:38 | INFO | __main__ | Step 101, Loss: 6.3984
29-01-2026 18:06:48 | INFO | __main__ | Step 102, Loss: 6.4240
29-01-2026 18:09:06 | INFO | __main__ | Step 103, Loss: 6.3951
29-01-2026 18:11:22 | INFO | __main__ | Step 104, Loss: 6.3971
29-01-2026 18:13:31 | INFO | __main__ | Step 105, Loss: 6.3872
29-01-2026 18:15:14 | INFO | __main__ | Step 106, Loss: 6.3672
29-01-2026 18:16:58 | INFO | __main__ | Step 107, Loss: 15.9771
29-01-2026 18:18:40 | INFO | __main__ | Step 108, Loss: 6.3246
29-01-2026 18:20:21 | INFO | __main__ | Step 109, Loss: 6.3294
29-01-2026 18:22:03 | INFO | __main__ | Step 110, Loss: 6.2776
29-01-2026 18:23:44 | INFO | __main__ | Step 111, Loss: 6.2928
29-01-2026 18:25:25 | INFO | __main__ | Step 112, Loss: 6.2655
29-01-2026 18:27:06 | INFO | __main__ | Step 113, Loss: 6.2816
29-01-2026 18:28:49 | INFO | __main__ | Step 114, Loss: 6.2660
29-01-2026 18:30:31 | INFO | __main__ | Step 115, Loss: 6.2897
29-01-2026 18:32:25 | INFO | __main__ | Step 116, Loss: 6.2536
29-01-2026 18:34:42 | INFO | __main__ | Step 117, Loss: 6.2404
29-01-2026 18:36:56 | INFO | __main__ | Step 118, Loss: 6.2664
29-01-2026 18:39:15 | INFO | __main__ | Step 119, Loss: 6.2088
29-01-2026 18:41:18 | INFO | __main__ | Step 120, Loss: 6.2243
29-01-2026 18:43:24 | INFO | __main__ | Step 121, Loss: 6.2101
29-01-2026 18:45:11 | INFO | __main__ | Step 122, Loss: 6.1907
29-01-2026 18:46:55 | INFO | __main__ | Step 123, Loss: 6.1953
29-01-2026 18:48:39 | INFO | __main__ | Step 124, Loss: 6.1675
29-01-2026 18:50:23 | INFO | __main__ | Step 125, Loss: 6.1760
29-01-2026 18:52:07 | INFO | __main__ | Step 126, Loss: 6.1472
29-01-2026 18:53:52 | INFO | __main__ | Step 127, Loss: 6.1615
29-01-2026 18:55:54 | INFO | __main__ | Step 128, Loss: 6.1434
29-01-2026 18:57:47 | INFO | __main__ | Step 129, Loss: 6.1261
29-01-2026 18:59:33 | INFO | __main__ | Step 130, Loss: 6.1237
29-01-2026 19:01:19 | INFO | __main__ | Step 131, Loss: 6.1106
29-01-2026 19:03:06 | INFO | __main__ | Step 132, Loss: 6.1017
29-01-2026 19:04:58 | INFO | __main__ | Step 133, Loss: 6.0911
29-01-2026 19:06:54 | INFO | __main__ | Step 134, Loss: 6.0940
29-01-2026 19:08:46 | INFO | __main__ | Step 135, Loss: 6.0609
29-01-2026 19:10:48 | INFO | __main__ | Step 136, Loss: 6.0825
29-01-2026 19:12:52 | INFO | __main__ | Step 137, Loss: 6.0550
29-01-2026 19:14:55 | INFO | __main__ | Step 138, Loss: 6.0458
29-01-2026 19:16:52 | INFO | __main__ | Step 139, Loss: 6.0455
29-01-2026 19:18:49 | INFO | __main__ | Step 140, Loss: 6.0442
29-01-2026 19:20:41 | INFO | __main__ | Step 141, Loss: 6.0386
29-01-2026 19:22:40 | INFO | __main__ | Step 142, Loss: 6.0168
29-01-2026 19:24:37 | INFO | __main__ | Step 143, Loss: 6.0436
29-01-2026 19:26:25 | INFO | __main__ | Step 144, Loss: 6.0133
29-01-2026 19:28:17 | INFO | __main__ | Step 145, Loss: 6.0197
29-01-2026 19:30:20 | INFO | __main__ | Step 146, Loss: 6.0165
29-01-2026 19:32:15 | INFO | __main__ | Step 147, Loss: 6.0097
29-01-2026 19:34:04 | INFO | __main__ | Step 148, Loss: 6.0204
29-01-2026 19:35:50 | INFO | __main__ | Step 149, Loss: 6.0039
29-01-2026 19:37:53 | INFO | __main__ | Step 150, Loss: 6.0185
29-01-2026 19:39:44 | INFO | __main__ | Step 151, Loss: 5.9938
29-01-2026 19:41:30 | INFO | __main__ | Step 152, Loss: 6.0054
29-01-2026 19:43:20 | INFO | __main__ | Step 153, Loss: 5.9861
29-01-2026 19:45:25 | INFO | __main__ | Step 154, Loss: 5.9829
